date,weight,temp,nedbor,vind
1/14/2021,150398,2.6,0.3,6.3
1/15/2021,149593,1.5,0,5.4
1/16/2021,95842,2.1,0.2,10.8
1/17/2021,72028,0.4,0,10.9
1/18/2021,182454,-1.8,0.6,22.9
1/19/2021,152728,-1.7,0,22.7
1/20/2021,149985,-1.3,0.1,19.9
1/21/2021,80216,-1.4,0,10
1/22/2021,33534,1.4,3.4,9
1/23/2021,22036,1.8,7.5,13
1/24/2021,55713,1.3,2.9,9.3
1/25/2021,174202,0.2,0,9.8
1/26/2021,184256,-1.5,0,8.4
1/27/2021,172633,-1.4,0,6.6
1/28/2021,156675,0,3.5,7.8
1/29/2021,187075,1.1,0,8.8
1/30/2021,160738,0.2,0,12.6
1/31/2021,115710,-0.5,0.6,11.4
2/1/2021,146140,2.1,0,14
2/2/2021,164413,2.8,0,13
2/3/2021,197341,2.1,0.4,15.1
2/4/2021,141733,1.8,0.2,12.9
2/5/2021,161471,1.5,2,13.4
2/6/2021,76308,0,1.4,11.7
2/7/2021,62599,-1.4,0,7.2
2/8/2021,204784,0.8,5.7,15.7
2/9/2021,202335,1.7,4.1,16.3
2/10/2021,197132,0.1,3.8,12.5
2/11/2021,175500,0.7,2.2,8.9
2/12/2021,109221,1.9,0.2,9.4
2/13/2021,112406,1,0,9
2/14/2021,160053,-0.6,0.1,10.3
2/15/2021,264748,0.4,0.1,7.5
2/16/2021,264981,1.4,0.1,13.3
2/17/2021,264807,2,0.3,14.4
2/18/2021,294797,2.6,4.5,17.2
2/19/2021,250167,5,9.4,14.3
2/20/2021,171346,3.9,0.8,12.1
2/21/2021,83540,6.4,1.8,17.7
2/22/2021,141659,6.1,8.8,15.5
2/23/2021,187580,4.3,3.6,11.8
2/24/2021,168450,6,2,14.2
2/25/2021,157948,6.6,3.1,14.9
2/26/2021,223146,4.2,2.5,17.9
2/27/2021,161526,4,4.1,17.9
2/28/2021,52885,1.7,3,19.3
3/1/2021,80044,0.3,1.5,16.3
3/2/2021,109612,1.2,4.9,12.8
3/3/2021,119318,-2.8,1.9,22.1
3/4/2021,186086,1,0.8,15.5
3/5/2021,276119,1.7,2,9
3/6/2021,122643,0.9,0.7,9.3
3/7/2021,97730,-0.2,0,12
3/8/2021,288355,1.5,0,15.8
3/9/2021,308397,2.9,0.2,13.5
3/10/2021,306797,4.2,3.8,10.5
3/11/2021,200304,4.4,0.3,5.9
3/12/2021,272280,3.8,0.2,7.3
3/13/2021,238756,3.1,0,7.5
3/14/2021,233160,2.5,0.2,6.8
3/15/2021,341410,0.9,0.7,9.7
3/16/2021,299818,4.1,2.7,16.7
3/17/2021,297940,3.6,4.5,19.8
3/18/2021,287776,0.1,8.5,20.3
3/19/2021,124025,4.8,1.1,11.5
3/20/2021,89833,5.2,2,15.2
3/21/2021,73464,5.2,6,27.7
3/22/2021,230143,3.5,4,23
3/23/2021,119228,5.9,0,12.5
3/24/2021,25862,5.4,0.5,12.8
3/25/2021,109941,4.5,1.4,13.2
3/26/2021,321446,5.1,1.5,14.6
3/27/2021,255986,5.3,2.3,15
3/28/2021,231580,4.8,0.4,10.9
3/29/2021,271807,4,0.5,14.1
3/30/2021,189025,2,4.7,15.1
3/31/2021,185611,4.4,1.8,13.5
4/1/2021,132914,1.8,3.8,15.9
4/2/2021,116066,2.6,2.6,15.9
4/3/2021,68027,3.6,1.2,21.8
4/4/2021,67112,1.1,2.3,18.5
4/5/2021,135017,-0.4,0.7,12.1
4/6/2021,81579,1.3,0.4,10.2
4/7/2021,100212,2.6,0,13.7
4/8/2021,215215,2.5,4.6,16.3
4/9/2021,263157,2.1,1.9,9.8
4/10/2021,255091,2.4,0.4,8.5
4/11/2021,114914,3.5,0.5,13.4
4/12/2021,237488,6.2,2.6,14.5
4/13/2021,258322,6.3,0.1,8.8
4/14/2021,199295,6.3,0,7.9
4/15/2021,141181,6.7,0,6.9
4/16/2021,191870,7.8,0,8.1
4/17/2021,141717,7.9,0,13.1
4/18/2021,147897,2.5,0.1,15.9
4/19/2021,273023,2.3,0,9.5
